Organization 1 has 5 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 177 has 8 low density subscriptions, 6 high density subscriptions, and 3 physical servers with a total of 8 sockets. They are running 9 virtual machines, with 2 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 178 has 6 low density subscriptions, 5 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 49 virtual machines, with 14 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 179 has 6 low density subscriptions, 3 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 40 virtual machines, with 19 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 180 has 9 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 1 sockets. They are running 16 virtual machines, with 18 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 181 has 1 low density subscriptions, 8 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 35 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 182 has 6 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 3 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 183 has 8 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 9 sockets. They are running 39 virtual machines, with 0 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 184 has 8 low density subscriptions, 7 high density subscriptions, and 9 physical servers with a total of 5 sockets. They are running 37 virtual machines, with 16 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 185 has 3 low density subscriptions, 8 high density subscriptions, and 9 physical servers with a total of 9 sockets. They are running 3 virtual machines, with 14 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 186 has 2 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 40 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 187 has 3 low density subscriptions, 7 high density subscriptions, and 1 physical servers with a total of 1 sockets. They are running 35 virtual machines, with 0 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 188 has 6 low density subscriptions, 2 high density subscriptions, and 1 physical servers with a total of 7 sockets. They are running 1 virtual machines, with 11 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 189 has 3 low density subscriptions, 7 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 16 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 190 has 6 low density subscriptions, 8 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 11 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 191 has 5 low density subscriptions, 0 high density subscriptions, and 3 physical servers with a total of 1 sockets. They are running 3 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 192 has 7 low density subscriptions, 7 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 46 virtual machines, with 2 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 193 has 0 low density subscriptions, 4 high density subscriptions, and 6 physical servers with a total of 6 sockets. They are running 12 virtual machines, with 14 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 194 has 8 low density subscriptions, 8 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 32 virtual machines, with 10 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 195 has 4 low density subscriptions, 4 high density subscriptions, and 2 physical servers with a total of 6 sockets. They are running 39 virtual machines, with 4 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 196 has 6 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 2 sockets. They are running 0 virtual machines, with 9 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 197 has 5 low density subscriptions, 0 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 47 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 198 has 8 low density subscriptions, 4 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 23 virtual machines, with 11 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 199 has 2 low density subscriptions, 8 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 7 virtual machines, with 8 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 200 has 3 low density subscriptions, 0 high density subscriptions, and 5 physical servers with a total of 1 sockets. They are running 1 virtual machines, with 5 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 201 has 9 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 34 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 202 has 7 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 5 sockets. They are running 13 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 203 has 5 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 8 sockets. They are running 30 virtual machines, with 12 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 204 has 3 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 6 sockets. They are running 21 virtual machines, with 6 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 205 has 4 low density subscriptions, 7 high density subscriptions, and 3 physical servers with a total of 8 sockets. They are running 17 virtual machines, with 16 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 206 has 5 low density subscriptions, 7 high density subscriptions, and 1 physical servers with a total of 5 sockets. They are running 23 virtual machines, with 17 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 207 has 3 low density subscriptions, 2 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 35 virtual machines, with 19 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 208 has 3 low density subscriptions, 2 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 33 virtual machines, with 3 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 209 has 7 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 6 virtual machines, with 4 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 210 has 9 low density subscriptions, 7 high density subscriptions, and 3 physical servers with a total of 9 sockets. They are running 24 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 211 has 9 low density subscriptions, 0 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 34 virtual machines, with 17 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 212 has 9 low density subscriptions, 7 high density subscriptions, and 9 physical servers with a total of 7 sockets. They are running 40 virtual machines, with 18 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 213 has 7 low density subscriptions, 5 high density subscriptions, and 3 physical servers with a total of 6 sockets. They are running 38 virtual machines, with 4 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 214 has 3 low density subscriptions, 9 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 9 virtual machines, with 15 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 215 has 2 low density subscriptions, 7 high density subscriptions, and 3 physical servers with a total of 1 sockets. They are running 24 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 216 has 3 low density subscriptions, 1 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 29 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 217 has 9 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 5 virtual machines, with 19 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 218 has 7 low density subscriptions, 2 high density subscriptions, and 7 physical servers with a total of 5 sockets. They are running 48 virtual machines, with 16 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 219 has 7 low density subscriptions, 4 high density subscriptions, and 3 physical servers with a total of 2 sockets. They are running 48 virtual machines, with 8 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 220 has 5 low density subscriptions, 1 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 25 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 221 has 1 low density subscriptions, 4 high density subscriptions, and 6 physical servers with a total of 5 sockets. They are running 4 virtual machines, with 11 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 222 has 2 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 46 virtual machines, with 2 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 223 has 2 low density subscriptions, 8 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 38 virtual machines, with 17 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 224 has 8 low density subscriptions, 2 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 0 virtual machines, with 6 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 225 has 1 low density subscriptions, 1 high density subscriptions, and 3 physical servers with a total of 8 sockets. They are running 14 virtual machines, with 2 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 226 has 5 low density subscriptions, 6 high density subscriptions, and 2 physical servers with a total of 8 sockets. They are running 9 virtual machines, with 11 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 227 has 8 low density subscriptions, 3 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 36 virtual machines, with 14 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 228 has 4 low density subscriptions, 0 high density subscriptions, and 1 physical servers with a total of 3 sockets. They are running 47 virtual machines, with 8 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 229 has 0 low density subscriptions, 3 high density subscriptions, and 3 physical servers with a total of 5 sockets. They are running 28 virtual machines, with 17 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 230 has 2 low density subscriptions, 9 high density subscriptions, and 7 physical servers with a total of 8 sockets. They are running 15 virtual machines, with 7 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 231 has 5 low density subscriptions, 5 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 2 virtual machines, with 9 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 232 has 5 low density subscriptions, 1 high density subscriptions, and 8 physical servers with a total of 7 sockets. They are running 36 virtual machines, with 11 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 233 has 0 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 8 sockets. They are running 7 virtual machines, with 4 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 234 has 8 low density subscriptions, 7 high density subscriptions, and 3 physical servers with a total of 2 sockets. They are running 17 virtual machines, with 10 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 235 has 1 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 1 sockets. They are running 31 virtual machines, with 2 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 236 has 1 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 43 virtual machines, with 7 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 237 has 0 low density subscriptions, 7 high density subscriptions, and 2 physical servers with a total of 9 sockets. They are running 41 virtual machines, with 19 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 238 has 3 low density subscriptions, 9 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 15 virtual machines, with 7 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 239 has 8 low density subscriptions, 4 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 28 virtual machines, with 0 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 240 has 8 low density subscriptions, 2 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 42 virtual machines, with 4 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 241 has 4 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 31 virtual machines, with 10 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 242 has 4 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 22 virtual machines, with 8 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 243 has 0 low density subscriptions, 2 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 23 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 244 has 9 low density subscriptions, 4 high density subscriptions, and 5 physical servers with a total of 1 sockets. They are running 4 virtual machines, with 6 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 245 has 3 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 3 sockets. They are running 0 virtual machines, with 2 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 246 has 7 low density subscriptions, 0 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 17 virtual machines, with 11 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 247 has 3 low density subscriptions, 9 high density subscriptions, and 7 physical servers with a total of 5 sockets. They are running 6 virtual machines, with 12 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 248 has 2 low density subscriptions, 3 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 4 virtual machines, with 15 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 249 has 1 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 11 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 250 has 1 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 32 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 251 has 2 low density subscriptions, 0 high density subscriptions, and 9 physical servers with a total of 7 sockets. They are running 16 virtual machines, with 13 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 252 has 1 low density subscriptions, 4 high density subscriptions, and 5 physical servers with a total of 5 sockets. They are running 2 virtual machines, with 0 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 253 has 4 low density subscriptions, 4 high density subscriptions, and 6 physical servers with a total of 8 sockets. They are running 10 virtual machines, with 0 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 254 has 2 low density subscriptions, 0 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 39 virtual machines, with 15 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 255 has 5 low density subscriptions, 2 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 38 virtual machines, with 17 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 256 has 5 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 6 sockets. They are running 39 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 257 has 5 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 0 virtual machines, with 16 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 258 has 2 low density subscriptions, 8 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 9 virtual machines, with 11 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 259 has 5 low density subscriptions, 2 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 11 virtual machines, with 15 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 260 has 7 low density subscriptions, 7 high density subscriptions, and 4 physical servers with a total of 1 sockets. They are running 44 virtual machines, with 19 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 261 has 7 low density subscriptions, 3 high density subscriptions, and 5 physical servers with a total of 8 sockets. They are running 17 virtual machines, with 0 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 262 has 6 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 9 sockets. They are running 36 virtual machines, with 14 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 263 has 1 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 41 virtual machines, with 4 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 264 has 6 low density subscriptions, 0 high density subscriptions, and 3 physical servers with a total of 1 sockets. They are running 47 virtual machines, with 18 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 265 has 7 low density subscriptions, 2 high density subscriptions, and 4 physical servers with a total of 8 sockets. They are running 5 virtual machines, with 17 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 266 has 2 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 9 sockets. They are running 41 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 267 has 3 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 48 virtual machines, with 4 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 268 has 1 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 38 virtual machines, with 10 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 269 has 9 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 36 virtual machines, with 1 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 270 has 5 low density subscriptions, 2 high density subscriptions, and 7 physical servers with a total of 5 sockets. They are running 4 virtual machines, with 1 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 271 has 9 low density subscriptions, 8 high density subscriptions, and 4 physical servers with a total of 6 sockets. They are running 49 virtual machines, with 14 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 272 has 9 low density subscriptions, 7 high density subscriptions, and 3 physical servers with a total of 5 sockets. They are running 11 virtual machines, with 18 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 273 has 2 low density subscriptions, 3 high density subscriptions, and 3 physical servers with a total of 2 sockets. They are running 39 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 274 has 0 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 29 virtual machines, with 16 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 275 has 9 low density subscriptions, 3 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 43 virtual machines, with 5 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 276 has 1 low density subscriptions, 1 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 45 virtual machines, with 3 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 277 has 9 low density subscriptions, 0 high density subscriptions, and 5 physical servers with a total of 1 sockets. They are running 11 virtual machines, with 15 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 278 has 0 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 5 sockets. They are running 42 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 279 has 6 low density subscriptions, 0 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 32 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 280 has 0 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 1 virtual machines, with 7 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 281 has 4 low density subscriptions, 8 high density subscriptions, and 4 physical servers with a total of 2 sockets. They are running 44 virtual machines, with 11 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 282 has 8 low density subscriptions, 5 high density subscriptions, and 8 physical servers with a total of 7 sockets. They are running 47 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 283 has 4 low density subscriptions, 3 high density subscriptions, and 5 physical servers with a total of 7 sockets. They are running 34 virtual machines, with 8 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 284 has 3 low density subscriptions, 3 high density subscriptions, and 3 physical servers with a total of 2 sockets. They are running 42 virtual machines, with 18 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 285 has 3 low density subscriptions, 1 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 42 virtual machines, with 5 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 286 has 8 low density subscriptions, 0 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 44 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 287 has 8 low density subscriptions, 6 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 10 virtual machines, with 6 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 288 has 7 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 5 sockets. They are running 42 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 289 has 0 low density subscriptions, 6 high density subscriptions, and 9 physical servers with a total of 5 sockets. They are running 40 virtual machines, with 5 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 290 has 3 low density subscriptions, 9 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 46 virtual machines, with 11 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 291 has 8 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 5 sockets. They are running 39 virtual machines, with 15 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 292 has 7 low density subscriptions, 7 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 15 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 293 has 7 low density subscriptions, 0 high density subscriptions, and 1 physical servers with a total of 6 sockets. They are running 45 virtual machines, with 4 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 294 has 1 low density subscriptions, 1 high density subscriptions, and 2 physical servers with a total of 5 sockets. They are running 26 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 295 has 8 low density subscriptions, 4 high density subscriptions, and 8 physical servers with a total of 1 sockets. They are running 41 virtual machines, with 18 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 296 has 4 low density subscriptions, 9 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 40 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 297 has 7 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 44 virtual machines, with 12 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 298 has 0 low density subscriptions, 1 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 48 virtual machines, with 12 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 299 has 4 low density subscriptions, 6 high density subscriptions, and 9 physical servers with a total of 8 sockets. They are running 16 virtual machines, with 0 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 300 has 9 low density subscriptions, 5 high density subscriptions, and 6 physical servers with a total of 9 sockets. They are running 43 virtual machines, with 0 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 301 has 0 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 28 virtual machines, with 6 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 302 has 6 low density subscriptions, 4 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 0 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 303 has 4 low density subscriptions, 4 high density subscriptions, and 2 physical servers with a total of 3 sockets. They are running 44 virtual machines, with 9 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 304 has 2 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 2 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 305 has 4 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 22 virtual machines, with 19 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 306 has 6 low density subscriptions, 2 high density subscriptions, and 1 physical servers with a total of 8 sockets. They are running 24 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 307 has 3 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 44 virtual machines, with 10 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 308 has 3 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 5 sockets. They are running 19 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 309 has 7 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 30 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 310 has 8 low density subscriptions, 0 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 13 virtual machines, with 6 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 311 has 5 low density subscriptions, 8 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 7 virtual machines, with 7 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 312 has 0 low density subscriptions, 8 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 19 virtual machines, with 18 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 313 has 8 low density subscriptions, 1 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 35 virtual machines, with 15 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 314 has 5 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 29 virtual machines, with 4 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 315 has 4 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 20 virtual machines, with 11 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 316 has 7 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 1 sockets. They are running 8 virtual machines, with 11 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 317 has 4 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 3 sockets. They are running 10 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 318 has 1 low density subscriptions, 9 high density subscriptions, and 3 physical servers with a total of 2 sockets. They are running 41 virtual machines, with 0 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 319 has 3 low density subscriptions, 4 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 34 virtual machines, with 5 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 320 has 3 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 46 virtual machines, with 6 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
